,year,pmid,title,select
1,2021,34896491,Quantifying the importance of plastic pollution for the dissemination of human pathogens: The challenges of choosing an appropriate 'control' material.,1
6,2021,34793787,Implications of COVID-19 on global environmental pollution and carbon emissions with strategies for sustainability in the COVID-19 era.,1
9,2021,34678364,Polylactic acid face masks: Are these the sustainable solutions in times of COVID-19 pandemic?,1
15,2021,34597964,"Distribution and potential sources of microplastics in sediments in remote lakes of Tibet, China.",1
16,2021,34592275,Release of tens of thousands of microfibers from discarded face masks under simulated environmental conditions.,1
17,2021,34571218,"Microplastics: A review of analytical methods, occurrence and characteristics in food, and potential toxicities to biota.",1
18,2021,34536872,Citizen science: A way forward in tackling the plastic pollution crisis during and beyond the COVID-19 pandemic.,1
21,2021,34426330,Overview on the occurrence of microplastics in air and implications from the use of face masks during the COVID-19 pandemic.,1
24,2021,34358749,On the way to reduce marine microplastics pollution. Research landscape of psychosocial drivers.,1
32,2021,34091337,Neglected microplastics pollution in global COVID-19: Disposable surgical masks.,1
44,2021,33582342,"A review of human and animals exposure to polycyclic aromatic hydrocarbons: Health risk and adverse effects, photo-induced toxicity and regulating effect of microplastics.",1
49,2020,32827829,An emerging class of air pollutants: Potential effects of microplastics to respiratory human health?,1
50,2020,32563114,Covid-19 face masks: A potential source of microplastic fibers in the environment.,1
52,2020,32473458,The need for fully bio-based facemasks to counter coronavirus outbreaks: A perspective.,1
53,2020,32422457,"Tyre and road wear particles (TRWP) - A review of generation, properties, emissions, human health risk, ecotoxicity, and fate in the environment.",1
59,2019,31733547,Environmental exposure to microplastics: An overview on possible human health effects.,1
60,2019,31158627,An assessment of the toxicity of polypropylene microplastics in human derived cells.,1
61,2019,30826685,Interaction between microplastics and microorganism as well as gut microbiota: A consideration on environmental animal and human health.,1
